sentabr,сентябр
KONFERENSIYA,КОНФЕРЕНЦИЯ
KONSENTRAT,КОНЦЕНТРАТ
KONSENTRATLI,КОНЦЕНТРАТЛИ
KONSENTRIK,КОНЦЕНТРИК
KONSEPSIYA,КОНЦЕПЦИЯ
KONSERN,КОНЦЕРН
KONSERT,КОНЦЕРТ
KONSERTMEYSTER,КОНЦЕРТМЕЙСТЕР
KONSESSIYA,КОНЦЕССИЯ
KONSLAGER,КОНЦЛАГЕРЬ
KORRESPONDENSIYA,КОРРЕСПОНДЕНЦИЯ
KORRUPSIYA,КОРРУПЦИЯ
LANSET,ЛАНЦЕТ
LEKSIYA,ЛЕКЦИЯ
LYUMENISSENSIYA,ЛЮМЕНИСЦЕНЦИЯ
MIZANSSENA,МИЗАНСЦЕНА
OPSION,ОПЦИОН
PINSET,ПИНЦЕТ
PITSSA,ПИЦЦА
PLEBISSIT,ПЛЕБИСЦИТ
PODSTANSIYA,ПОДСТАНЦИЯ
PORSIYA,ПОРЦИЯ
POTENSIAL,ПОТЕНЦИАЛ
PRESS-KONFERENSIYA,ПРЕСС-КОНФЕРЕНЦИЯ
PREFERENSIYA,ПРЕФЕРЕНЦИЯ
PRINSIP,ПРИНЦИП
PRINSIPIAL,ПРИНЦИПИАЛ
PRINSIPIALLIK,ПРИНЦИПИАЛЛИК
PRINSIPLI,ПРИНЦИПЛИ
PRINSIPSIZ,ПРИНЦИПСИЗ
PROVINSIALIZM,ПРОВИНЦИАЛИЗМ
PROVINSIYA,ПРОВИНЦИЯ
PROYEKSIYA,ПРОЕКЦИЯ
PROYEKSIYALAMOQ,ПРОЕКЦИЯЛАМОҚ
PROPORSIONAL,ПРОПОРЦИОНАЛ
PROPORSIONALLIK,ПРОПОРЦИОНАЛЛИК
PROPORSIYA,ПРОПОРЦИЯ
PROTEKSIONIZM,ПРОТЕКЦИОНИЗМ
PUNKSIYA,ПУНКЦИЯ
RADIOSTANSIYA,РАДИОСТАНЦИЯ
REAKSION,РЕАКЦИОН
REAKSIYA,РЕАКЦИЯ
REDAKSION,РЕДАКЦИОН
REDAKSIYA,РЕДАКЦИЯ
REDUKSIYA,РЕДУКЦИЯ
REZEKSIYA,РЕЗЕКЦИЯ
REZIDENSIYA,РЕЗИДЕНЦИЯ
REKOGNOSSIROVKA,РЕКОГНОСЦИРОВКА
REKONSTRUKSIYA,РЕКОНСТРУКЦИЯ
REKONSTRUKSIYALAMOQ,РЕКОНСТРУКЦИЯЛАМОҚ
REPRODUKSIYA,РЕПРОДУКЦИЯ
REFRAKSIYA,РЕФРАКЦИЯ
SANKSIYA,САНКЦИЯ
SEKSIYA,СЕКЦИЯ
SELEKSION,СЕЛЕКЦИОН
SELEKSIYA,СЕЛЕКЦИЯ
STANSIYA,СТАНЦИЯ
STRONSIY,СТРОНЦИЙ
SUBSTANSIYA,СУБСТАНЦИЯ
SSENARIY,СЦЕНАРИЙ
SSENARIST,СЦЕНАРИСТ
TANSA,ТАНЦА
TELEINSSENIROVKA,ТЕЛЕИНСЦЕНИРОВКА
TENDENSIOZ,ТЕНДЕНЦИОЗ
TENDENSIOZLIK,ТЕНДЕНЦИОЗЛИК
TENDENSIYA,ТЕНДЕНЦИЯ
TERSET,ТЕРЦЕТ
TERSIYA,ТЕРЦИЯ
TRANSKRIPSION,ТРАНСКРИПЦИОН
TRANSKRIPSIYA,ТРАНСКРИПЦИЯ
TRANSKRIPSIYALAMOQ,ТРАНСКРИПЦИЯЛАМОҚ
FILM-KONSERT,ФИЛЬМ-КОНЦЕРТ
FITONSID,ФИТОНЦИД
FRAKSION,ФРАКЦИОН
FRAKSIOONER,ФРАКЦИООНЕР
FRAKSIYA,ФРАКЦИЯ
FRANSIYA,ФРАНЦИЯ
FRANSUZ,ФРАНЦУЗ
FRANSUZLAR,ФРАНЦУЗЛАР
FRANSUZCHA,ФРАНЦУЗЧА
FUNKSIONAL,ФУНКЦИОНАЛ
FUNKSIYA,ФУНКЦИЯ
XEMOSORBSIYA,ХЕМОСОРБЦИЯ
SHVEYSAR,ШВЕЙЦАР
SHTANGENSIRKUL,ШТАНГЕНЦИРКУЛЬ
EKSTRAKSIYA,ЭКСТРАКЦИЯ
ELEKTROSTANSIYA,ЭЛЕКТРОСТАНЦИЯ
ENSEFALIT,ЭНЦЕФАЛИТ
ENSEFALOGRAMMA,ЭНЦЕФАЛОГРАММА
ENSIKLOPEDIK,ЭНЦИКЛОПЕДИК
ENSIKLOPEDIST,ЭНЦИКЛОПЕДИСТ
ENSIKLOPEDIYA,ЭНЦИКЛОПЕДИЯ
ENSIKLOPEDIYACHI,ЭНЦИКЛОПЕДИЯЧИ
ESSENSIYA,ЭССЕНЦИЯ
YURISDIKSIYA,ЮРИСДИКЦИЯ
YURISPRUDENSIYA,ЮРИСПРУДЕНЦИЯ
BELETAJ,БЕЛЬЭТАЖ
ERTA,ЭРТА
E'TIBOR,ЭЪТИБОР
ICH-ET,ИЧ-ЭТ
KARATE,КАРАТЭ
MER,МЭР
ESON,ЭСОН
REKET,РЭКЕТ
SUTEMIZUVCHILAR,СУТЭМИЗУВЧИЛАР
UPA-ELIK,УПА-ЭЛИК
EHSON,ЭҲСОН
QAYNEGACHI,ҚАЙНЭГАЧИ
ASHOB,АСҲОБ
MUSHAF,МУСҲАФ
YOG,ЙОГ
YOD,ЙОД
MAYONEZ,МАЙОНЕЗ
MIKRORAYON,МИКРОРАЙОН
MAYOR,МАЙОР
RAYON,РАЙОН
MOYUPA,МОЙУПА
POYUSTUN,ПОЙУСТУН
POYABZAL,ПОЙАБЗАЛ
POYANDOZ,ПОЙАНДОЗ
POYAFZAL,ПОЙАФЗАЛ
IYE,ИЙЕ
KONVEYER,КОНВЕЙЕР
PLEYER,ПЛЕЙЕР
STAYER,СТАЙЕР
FOYE,ФОЙЕ
AVTOMAGISTRALAVTOMAT,АВТОМАГИСТРАЛЬАВТОМАТ
ALBATROS,АЛЬБАТРОС
ALBOM,АЛЬБОМ
ALPINIZM,АЛЬПИНИЗМ
ALPINIST,АЛЬПИНИСТ
ALT,АЛЬТ
ALTERNATIV,АЛЬТЕРНАТИВ
ALTERNATIVA,АЛЬТЕРНАТИВА
ALTIMETR,АЛЬТИМЕТР
ALTCHI,АЛЬТЧИ
ALFA,АЛЬФА
ALFA-ZARRALAR,АЛЬФА-ЗАРРАЛАР
ALMA-TERAPIYA,АЛЬМА-ТЕРАПИЯ
ALYANS,АЛЬЯНС
AMALGAMA,АМАЛЬГАМА
APELSIN,АПЕЛЬСИН
ARERGARD,АРЬЕРГАРД
ASFALT,АСФАЛЬТ
ASFALTLAMOQ,АСФАЛЬТЛАМОҚ
ASFALTLI,АСФАЛЬТЛИ
ATELE,АТЕЛЬЕ
BAZALT,БАЗАЛЬТ
BALZAM,БАЛЬЗАМ
BALZAMLASH,БАЛЬЗАМЛАШ
BALNEOLOG,БАЛЬНЕОЛОГ
BALNEOLOGIK,БАЛЬНЕОЛОГИК
BALNEOLOGIYA,БАЛЬНЕОЛОГИЯ
BALNEOTERAPIYA,БАЛЬНЕОТЕРАПИЯ
BALNEOTEXNIKA,БАЛЬНЕОТЕХНИКА
BARELEF,БАРЕЛЬЕФ
BARER,БАРЬЕР
BATALON,БАТАЛЬОН
BELVEDER,БЕЛЬВЕДЕР
BELGIYALIK,БЕЛЬГИЯЛИК
BELTING,БЕЛЬТИНГ
BELETAJ,БЕЛЬЭТАЖ
BILYARD,БИЛЬЯРД
BINOKL,БИНОКЛЬ
BIOFILTR,БИОФИЛЬТР
BOLONYA,БОЛОНЬЯ
BOLSHEVIZM,БОЛЬШЕВИЗМ
BOLSHEVIK,БОЛЬШЕВИК
BRAKONERLIK,БРАКОНЬЕРЛИК
BUDILNIK,БУДИЛЬНИК
BULVAR,БУЛЬВАР
BULDENEJ,БУЛЬДЕНЕЖ
BULDOG,БУЛЬДОГ
BULDOZER,БУЛЬДОЗЕР
BULDOZERCHI,БУЛЬДОЗЕРЧИ
BULON,БУЛЬОН
VALERYANKA,ВАЛЕРЬЯНКА
VALVATSIYA,ВАЛЬВАЦИЯ
VALS,ВАЛЬС
VARETE,ВАРЬЕТЕ
VEDOMOST,ВЕДОМОСТЬ
VERNER,ВЕРНЬЕР
VIDEOFILM,ВИДЕОФИЛЬМ
VINETKA,ВИНЬЕТКА
VOLT,ВОЛЬТ
VOLTA,ВОЛЬТА
VOLTLI,ВОЛЬТЛИ
VOLTMETR,ВОЛЬТМЕТР
VOLFRAM,ВОЛЬФРАМ
VULGAR,ВУЛЬГАР
VULGARIZM,ВУЛЬГАРИЗМ
VULGARLASHTIRMOQ,ВУЛЬГАРЛАШТИРМОҚ
GALVANIZATSIYA,ГАЛЬВАНИЗАЦИЯ
GALVANIK,ГАЛЬВАНИК
GALVANOMETR,ГАЛЬВАНОМЕТР
GASTROL-KONSERT,ГАСТРОЛЬ-КОНЦЕРТ
GELMINT,ГЕЛЬМИНТ
GELMINTOZ,ГЕЛЬМИНТОЗ
GELMINTOLOGIYA,ГЕЛЬМИНТОЛОГИЯ
GERALDIKA,ГЕРАЛЬДИКА
GILZA,ГИЛЬЗА
GIPOSULFIT,ГИПОСУЛЬФИТ
GOLF,ГОЛЬФ
GORELEF,ГОРЕЛЬЕФ
DALTONIZM,ДАЛЬТОНИЗМ
DEVALVATSIYA,ДЕВАЛЬВАЦИЯ
DELTA,ДЕЛЬТА
DELFIN,ДЕЛЬФИН
DELFINARIY,ДЕЛЬФИНАРИЙ
DELFINSIMONLAR,ДЕЛЬФИНСИМОНЛАР
DIAFILM,ДИАФИЛЬМ
IMPULS,ИМПУЛЬС
INSULT,ИНСУЛЬТ
INTERVYU,ИНТЕРВЬЮ
INTERER,ИНТЕРЬЕР
ITALYAN,ИТАЛЬЯН
ITALYANLAR,ИТАЛЬЯНЛАР
ITALYANCHA,ИТАЛЬЯНЧА
KALKA,КАЛЬКА
KALKALAMOQ,КАЛЬКАЛАМОҚ
KALKULYATOR,КАЛЬКУЛЯТОР
KALKULYATSIYA,КАЛЬКУЛЯЦИЯ
KALSIY,КАЛЬЦИЙ
KAPELMEYSTER,КАПЕЛЬМЕЙСТЕР
KARER,КАРЬЕР
KASTRYULKA,КАСТРЮЛЬКА
KATAPULTA,КАТАПУЛЬТА
KINOFILM,КИНОФИЛЬМ
KOBALT,КОБАЛЬТ
KOMPYUTER,КОМПЬЮТЕР
KOMPYUTERLASHTIRMOQ,КОМПЬЮТЕРЛАШТИРМОҚ
KONSULTANT,КОНСУЛЬТАНТ
KONSULTATIV,КОНСУЛЬТАТИВ
KONSULTATSIYA,КОНСУЛЬТАЦИЯ
KONFERANSE,КОНФЕРАНСЬЕ
KONKI,КОНЬКИ
KONKICHI,КОНЬКИЧИ
KONYUNKTIVA,КОНЬЮНКТИВА
KONYUNKTIVIT,КОНЬЮНКТИВИТ
KONYUNKTURA,КОНЬЮНКТУРА
KONYAK,КОНЬЯК
KULMINATSION,КУЛЬМИНАЦИОН
KULMINATSIYA,КУЛЬМИНАЦИЯ
KULTIVATOR,КУЛЬТИВАТОР
KULTIVATSIYA,КУЛЬТИВАЦИЯ
KULTURIZM,КУЛЬТУРИЗМ
KURER,КУРЬЕР
KYAT,КЬЯТ
LOSOS,ЛОСОСЬ
LOSON,ЛОСЬОН
MARSELEZA,МАРСЕЛЬЕЗА
MEDALON,МЕДАЛЬОН
MELXIOR,МЕЛЬХИОР
MENSHEVIZM,МЕНЬШЕВИЗМ
MENSHEVIK,МЕНЬШЕВИК
MIKROINSULT,МИКРОИНСУЛЬТ
MIKROFILM,МИКРОФИЛЬМ
MODELER,МОДЕЛЬЕР
MOLBERT,МОЛЬБЕРТ
MONOKULTOURA,МОНОКУЛЬТОУРА
MULTI,МУЛЬТИ
NIMPALTO,НИМПАЛЬТО
OKKULTIZM,ОККУЛЬТИЗМ
OFTALMOLOGIYA,ОФТАЛЬМОЛОГИЯ
PAVILON,ПАВИЛЬОН
PALMA,ПАЛЬМА
PALMAZOR,ПАЛЬМАЗОР
PALPATSIYA,ПАЛЬПАЦИЯ
PALTO,ПАЛЬТО
PALTOBOP,ПАЛЬТОБОП
PALTOLIK,ПАЛЬТОЛИК
PENALTI,ПЕНАЛЬТИ
PECHENE,ПЕЧЕНЬЕ
POLKA,ПОЛЬКА
POCHTALON,ПОЧТАЛЬОН
PREMERA,ПРЕМЬЕРА
PREMER-MINISTR,ПРЕМЬЕР-МИНИСТР
PRESS-PAPE,ПРЕСС-ПАПЬЕ
PULVERIZATOR,ПУЛЬВЕРИЗАТОР
PULMONOLOGIYA,ПУЛЬМОНОЛОГИЯ
PULPA,ПУЛЬПА
PULPIT,ПУЛЬПИТ
PULS,ПУЛЬС
PULT,ПУЛЬТ
PESA,ПЬЕСА
RANTE,РАНТЬЕ
REVALVATSIYA,РЕВАЛЬВАЦИЯ
REVOLVER,РЕВОЛЬВЕР
REZBA,РЕЗЬБА
REZBALI,РЕЗЬБАЛИ
RELEF,РЕЛЬЕФ
RELS,РЕЛЬС
RELSLI,РЕЛЬСЛИ
RELSSIZ,РЕЛЬССИЗ
RUBILNIK,РУБИЛЬНИК
SALDO,САЛЬДО
SALTO,САЛЬТО
SELDEREY,СЕЛЬДЕРЕЙ
SENOR,СЕНЬОР
SENORA,СЕНЬОРА
SINKA,СИНЬКА
SINKALAMOQ,СИНЬКАЛАМОҚ
STATYA,СТАТЬЯ
STELKA,СТЕЛЬКА
SUDYA,СУДЬЯ
SUDYALIK,СУДЬЯЛИК
SULFAT,СУЛЬФАТ
SULFATLAR,СУЛЬФАТЛАР
TALK,ТАЛЬК
TELEFILM,ТЕЛЕФИЛЬМ
ULTIMATUM,УЛЬТИМАТУМ
ULTRA-,УЛЬТРА-
ULTRABINAFSHA,УЛЬТРАБИНАФША
ULTRAMIKROSKOP,УЛЬТРАМИКРОСКОП
ULTRATOVUSH,УЛЬТРАТОВУШ
ULTRAQISQA,УЛЬТРАҚИСҚА
UMIVALNIK,УМИВАЛЬНИК
FAKULTATIV,ФАКУЛЬТАТИВ
FAKULTET,ФАКУЛЬТЕТ
FAKULTETLALARO,ФАКУЛЬТЕТЛАЛАРО
FALSIFIKATOR,ФАЛЬСИФИКАТОР
FALSIFIKATSIYA,ФАЛЬСИФИКАЦИЯ
FELDMARSHAL,ФЕЛЬДМАРШАЛ
FELDSHER,ФЕЛЬДШЕР
FELETON,ФЕЛЬЕТОН
FELETONCHI,ФЕЛЬЕТОНЧИ
FESTIVAL,ФЕСТИВАЛЬ
FIZKULTURA,ФИЗКУЛЬТУРА
FIZKULTURACHI,ФИЗКУЛЬТУРАЧИ
FILM,ФИЛЬМ
FILM-KONSERT,ФИЛЬМ-КОНЦЕРТ
FILMOSKOP,ФИЛЬМОСКОП
FILMOTEKA,ФИЛЬМОТЕКА
FILTR,ФИЛЬТР
FILTRATSIYA,ФИЛЬТРАЦИЯ
FILTRLAMOQ,ФИЛЬТРЛАМОҚ
FILTRLI,ФИЛЬТРЛИ
FOLGA,ФОЛЬГА
FOLKLOR,ФОЛЬКЛОР
FOLKLORIST,ФОЛЬКЛОРИСТ
FOLKLORISTIKA,ФОЛЬКЛОРИСТИКА
FOLKLORCHI,ФОЛЬКЛОРЧИ
FOLKLORSHUNOS,ФОЛЬКЛОРШУНОС
FOLKLORSHUNOSLIK,ФОЛЬКЛОРШУНОСЛИК
FORTEPYANO,ФОРТЕПЬЯНО
XOLODILNIK,ХОЛОДИЛЬНИК
SELSIY,ЦЕЛЬСИЙ
SHIFONER,ШИФОНЬЕР
SHPILKA,ШПИЛЬКА
EMULSIYA,ЭМУЛЬСИЯ
ESKADRILYA,ЭСКАДРИЛЬЯ
YURISKONSULT,ЮРИСКОНСУЛЬТ
yakor,якорь
aviamodel,авиамодель
akvarel,акварель
alkogol,алкоголь
ansambl,ансамбль
artel,артель
artikl,артикль
banderol,бандероль
barrel,баррель
broneavtomobil,бронеавтомобиль
bron,бронь
byulleten,бюллетень
vanil,ваниль
veksel,вексель
ventil,вентиль
vermishel,вермишель
verf,верфь
vestibyul,вестибюль
viklyuchatel,виключатель
violonchel,виолончель
vklyuchatel,включатель
vodevil,водевиль
volost,волость
gavan,гавань
gantel,гантель
garmon,гармонь
gastrol,гастроль
gorizontal,горизонталь
gospital,госпиталь
grifel,грифель
guash,гуашь
dvigatel,двигатель
detal,деталь
diagonal,диагональ
dizel,дизель
dirijabl,дирижабль
drel,дрель
duel,дуэль
jenshen,женьшень
inventar,инвентарь
kabel,кабель
kalendar,календарь
kanifol,канифоль
kapsyul,капсюль
karamel,карамель
kartel,картель
kartech,картечь
karusel,карусель
kastryul,кастрюль
kafel,кафель
kinofestival,кинофестиваль
kisel,кисель
kitel,китель
knyaz,князь
kokil,кокиль
kokteyl,коктейль
kontrol,контроль
konslager,концлагерь
kon,конь
korol,король
kreml,кремль
krovat,кровать
lager,лагерь
latun,латунь
magistral,магистраль
mebel,мебель
medal,медаль
migren,мигрень
model,модель
monastir,монастирь
motel,мотель
neft,нефть
nikel,никель
nippel,ниппель
nol,ноль
normal,нормаль
oblast,область
otel,отель
ochered,очередь
panel,панель
parallel,параллель
parol,пароль
patrul,патруль
pedal,педаль
pechat,печать
pech,печь
plastir,пластирь
povest,повесть
portfel,портфель
porshen,поршень
predoxranitel,предохранитель
pristan,пристань
profil,профиль
radiospektakl,радиоспектакль
retush,ретушь
riyel,риель
ritsar,рицарь
rol,роль
royal,рояль
rubl,рубль
rul,руль
sekretar,секретарь
seld,сельдь
siren,сирень
skalpel,скальпель
slesar,слесарь
sobol,соболь
sol,соль
spektakl,спектакль
spiral,спираль
stil,стиль
sterjen,стержень
tabel,табель
tekstil,текстиль
tigel,тигель
tokar,токарь
tol,толь
tonnel,тоннель
tunnel,туннель
tush,тушь
tyulen,тюлень
tyul,тюль
util,утиль
feld'eger,фельдъегерь
fonar,фонарь
xrustal,хрусталь
sokol,цоколь
sirkul,циркуль
chizel,чизель
shagren,шагрень
shampun,шампунь
sherst,шерсть
shinel,шинель
shnitsel,шницель
shpatel,шпатель
shpindel,шпиндель
shtapel,штапель
shtangensirkul,штангенциркуль
shtempel,штемпель
emal,эмаль
endshpil,эндшпиль
yuan,юань
dizel,дизель
avtomobilda,автомобилда
avtomobilga,автомобилга
avtomobilni,автомобилни
avtomobilning,автомобилнинг
avtomobillar,автомобиллар
avtomobillarda,автомобилларда
avtomobillarga,автомобилларга
avtomobillarni,автомобилларни
avtomobillarning,автомобилларнинг
avtomobil,автомобиль
Yakor,Якорь
Aviamodel,Авиамодель
Akvarel,Акварель
Alkogol,Алкоголь
Ansambl,Ансамбль
Artel,Артель
Artikl,Артикль
Banderol,Бандероль
Barrel,Баррель
Broneavtomobil,Бронеавтомобиль
Bron,Бронь
Byulleten,Бюллетень
Vanil,Ваниль
Veksel,Вексель
Ventil,Вентиль
Vermishel,Вермишель
Verf,Верфь
Vestibyul,Вестибюль
Viklyuchatel,Виключатель
Violonchel,Виолончель
Vklyuchatel,Включатель
Vodevil,Водевиль
Volost,Волость
Gavan,Гавань
Gantel,Гантель
Garmon,Гармонь
Gastrol,Гастроль
Gorizontal,Горизонталь
Gospital,Госпиталь
Grifel,Грифель
Guash,Гуашь
Dvigatel,Двигатель
Detal,Деталь
Diagonal,Диагональ
Dizel,Дизель
Dirijabl,Дирижабль
Drel,Дрель
Duel,Дуэль
Jenshen,Женьшень
Inventar,Инвентарь
Kabel,Кабель
Kalendar,Календарь
Kanifol,Канифоль
Kapsyul,Капсюль
Karamel,Карамель
Kartel,Картель
Kartech,Картечь
Karusel,Карусель
Kastryul,Кастрюль
Kafel,Кафель
Kinofestival,Кинофестиваль
Kisel,Кисель
Kitel,Китель
Knyaz,Князь
Kokil,Кокиль
Kokteyl,Коктейль
Kontrol,Контроль
Konslager,Концлагерь
Kon,Конь
Korol,Король
Kreml,Кремль
Krovat,Кровать
Lager,Лагерь
Latun,Латунь
Magistral,Магистраль
Mebel,Мебель
Medal,Медаль
Migren,Мигрень
Model,Модель
Monastir,Монастирь
Motel,Мотель
Neft,Нефть
Nikel,Никель
Nippel,Ниппель
Nol,Ноль
Normal,Нормаль
Oblast,Область
Otel,Отель
Ochered,Очередь
Panel,Панель
Parallel,Параллель
Parol,Пароль
Patrul,Патруль
Pedal,Педаль
Pechat,Печать
Pech,Печь
Plastir,Пластирь
Povest,Повесть
Portfel,Портфель
Porshen,Поршень
Predoxranitel,Предохранитель
Pristan,Пристань
Profil,Профиль
Radiospektakl,Радиоспектакль
Retush,Ретушь
Riyel,Риель
Ritsar,Рицарь
Rol,Роль
Royal,Рояль
Rubl,Рубль
Rul,Руль
Sekretar,Секретарь
Seld,Сельдь
Siren,Сирень
Skalpel,Скальпель
Slesar,Слесарь
Sobol,Соболь
Sol,Соль
Spektakl,Спектакль
Spiral,Спираль
Stil,Стиль
Sterjen,Стержень
Tabel,Табель
Tekstil,Текстиль
Tigel,Тигель
Tokar,Токарь
Tol,Толь
Tonnel,Тоннель
Tunnel,Туннель
Tush,Тушь
Tyulen,Тюлень
Tyul,Тюль
Util,Утиль
Feld'Eger,Фельдъегерь
Fonar,Фонарь
Xrustal,Хрусталь
Sokol,Цоколь
Sirkul,Циркуль
Chizel,Чизель
Shagren,Шагрень
Shampun,Шампунь
Sherst,Шерсть
Shinel,Шинель
Shnitsel,Шницель
Shpatel,Шпатель
Shpindel,Шпиндель
Shtapel,Штапель
Shtangensirkul,Штангенциркуль
Shtempel,Штемпель
Emal,Эмаль
Endshpil,Эндшпиль
Yuan,Юань
Dizel,Дизель
Avtomobilda,Автомобилда
Avtomobilga,Автомобилга
Avtomobilni,Автомобилни
Avtomobilning,Автомобилнинг
Avtomobillar,Автомобиллар
Avtomobillarda,Автомобилларда
Avtomobillarga,Автомобилларга
Avtomobillarni,Автомобилларни
Avtomobillarning,Автомобилларнинг
Avtomobil,Автомобиль
YAKOR,ЯКОРЬ
AVIAMODEL,АВИАМОДЕЛЬ
AKVAREL,АКВАРЕЛЬ
ALKOGOL,АЛКОГОЛЬ
ANSAMBL,АНСАМБЛЬ
ARTEL,АРТЕЛЬ
ARTIKL,АРТИКЛЬ
BANDEROL,БАНДЕРОЛЬ
BARREL,БАРРЕЛЬ
BRONEAVTOMOBIL,БРОНЕАВТОМОБИЛЬ
BRON,БРОНЬ
BYULLETEN,БЮЛЛЕТЕНЬ
VANIL,ВАНИЛЬ
VEKSEL,ВЕКСЕЛЬ
VENTIL,ВЕНТИЛЬ
VERMISHEL,ВЕРМИШЕЛЬ
VERF,ВЕРФЬ
VESTIBYUL,ВЕСТИБЮЛЬ
VIKLYUCHATEL,ВИКЛЮЧАТЕЛЬ
VIOLONCHEL,ВИОЛОНЧЕЛЬ
VKLYUCHATEL,ВКЛЮЧАТЕЛЬ
VODEVIL,ВОДЕВИЛЬ
VOLOST,ВОЛОСТЬ
GAVAN,ГАВАНЬ
GANTEL,ГАНТЕЛЬ
GARMON,ГАРМОНЬ
GASTROL,ГАСТРОЛЬ
GORIZONTAL,ГОРИЗОНТАЛЬ
GOSPITAL,ГОСПИТАЛЬ
GRIFEL,ГРИФЕЛЬ
GUASH,ГУАШЬ
DVIGATEL,ДВИГАТЕЛЬ
DETAL,ДЕТАЛЬ
DIAGONAL,ДИАГОНАЛЬ
DIZEL,ДИЗЕЛЬ
DIRIJABL,ДИРИЖАБЛЬ
DREL,ДРЕЛЬ
DUEL,ДУЭЛЬ
JENSHEN,ЖЕНЬШЕНЬ
INVENTAR,ИНВЕНТАРЬ
KABEL,КАБЕЛЬ
KALENDAR,КАЛЕНДАРЬ
KANIFOL,КАНИФОЛЬ
KAPSYUL,КАПСЮЛЬ
KARAMEL,КАРАМЕЛЬ
KARTEL,КАРТЕЛЬ
KARTECH,КАРТЕЧЬ
KARUSEL,КАРУСЕЛЬ
KASTRYUL,КАСТРЮЛЬ
KAFEL,КАФЕЛЬ
KINOFESTIVAL,КИНОФЕСТИВАЛЬ
KISEL,КИСЕЛЬ
KITEL,КИТЕЛЬ
KNYAZ,КНЯЗЬ
KOKIL,КОКИЛЬ
KOKTEYL,КОКТЕЙЛЬ
KONTROL,КОНТРОЛЬ
KONSLAGER,КОНЦЛАГЕРЬ
KON,КОНЬ
KOROL,КОРОЛЬ
KREML,КРЕМЛЬ
KROVAT,КРОВАТЬ
LAGER,ЛАГЕРЬ
LATUN,ЛАТУНЬ
MAGISTRAL,МАГИСТРАЛЬ
MEBEL,МЕБЕЛЬ
MEDAL,МЕДАЛЬ
MIGREN,МИГРЕНЬ
MODEL,МОДЕЛЬ
MONASTIR,МОНАСТИРЬ
MOTEL,МОТЕЛЬ
NEFT,НЕФТЬ
NIKEL,НИКЕЛЬ
NIPPEL,НИППЕЛЬ
NOL,НОЛЬ
NORMAL,НОРМАЛЬ
OBLAST,ОБЛАСТЬ
OTEL,ОТЕЛЬ
OCHERED,ОЧЕРЕДЬ
PANEL,ПАНЕЛЬ
PARALLEL,ПАРАЛЛЕЛЬ
PAROL,ПАРОЛЬ
PATRUL,ПАТРУЛЬ
PEDAL,ПЕДАЛЬ
PECHAT,ПЕЧАТЬ
PECH,ПЕЧЬ
PLASTIR,ПЛАСТИРЬ
POVEST,ПОВЕСТЬ
PORTFEL,ПОРТФЕЛЬ
PORSHEN,ПОРШЕНЬ
PREDOXRANITEL,ПРЕДОХРАНИТЕЛЬ
PRISTAN,ПРИСТАНЬ
PROFIL,ПРОФИЛЬ
RADIOSPEKTAKL,РАДИОСПЕКТАКЛЬ
RETUSH,РЕТУШЬ
RIYEL,РИЕЛЬ
RITSAR,РИЦАРЬ
ROL,РОЛЬ
ROYAL,РОЯЛЬ
RUBL,РУБЛЬ
RUL,РУЛЬ
SEKRETAR,СЕКРЕТАРЬ
SELD,СЕЛЬДЬ
SIREN,СИРЕНЬ
SKALPEL,СКАЛЬПЕЛЬ
SLESAR,СЛЕСАРЬ
SOBOL,СОБОЛЬ
SOL,СОЛЬ
SPEKTAKL,СПЕКТАКЛЬ
SPIRAL,СПИРАЛЬ
STIL,СТИЛЬ
STERJEN,СТЕРЖЕНЬ
TABEL,ТАБЕЛЬ
TEKSTIL,ТЕКСТИЛЬ
TIGEL,ТИГЕЛЬ
TOKAR,ТОКАРЬ
TOL,ТОЛЬ
TONNEL,ТОННЕЛЬ
TUNNEL,ТУННЕЛЬ
TUSH,ТУШЬ
TYULEN,ТЮЛЕНЬ
TYUL,ТЮЛЬ
UTIL,УТИЛЬ
FELD'EGER,ФЕЛЬДЪЕГЕРЬ
FONAR,ФОНАРЬ
XRUSTAL,ХРУСТАЛЬ
SOKOL,ЦОКОЛЬ
SIRKUL,ЦИРКУЛЬ
CHIZEL,ЧИЗЕЛЬ
SHAGREN,ШАГРЕНЬ
SHAMPUN,ШАМПУНЬ
SHERST,ШЕРСТЬ
SHINEL,ШИНЕЛЬ
SHNITSEL,ШНИЦЕЛЬ
SHPATEL,ШПАТЕЛЬ
SHPINDEL,ШПИНДЕЛЬ
SHTAPEL,ШТАПЕЛЬ
SHTANGENSIRKUL,ШТАНГЕНЦИРКУЛЬ
SHTEMPEL,ШТЕМПЕЛЬ
EMAL,ЭМАЛЬ
ENDSHPIL,ЭНДШПИЛЬ
YUAN,ЮАНЬ
DIZEL,ДИЗЕЛЬ
AVTOMOBILDA,АВТОМОБИЛДА
AVTOMOBILGA,АВТОМОБИЛГА
AVTOMOBILNI,АВТОМОБИЛНИ
AVTOMOBILNING,АВТОМОБИЛНИНГ
AVTOMOBILLAR,АВТОМОБИЛЛАР
AVTOMOBILLARDA,АВТОМОБИЛЛАРДА
AVTOMOBILLARGA,АВТОМОБИЛЛАРГА
AVTOMOBILLARNI,АВТОМОБИЛЛАРНИ
AVTOMOBILLARNING,АВТОМОБИЛЛАРНИНГ
