сентябр,sentabr
КОНФЕРЕНЦИЯ,KONFERENSIYA
КОНЦЕНТРАТ,KONSENTRAT
КОНЦЕНТРАТЛИ,KONSENTRATLI
КОНЦЕНТРИК,KONSENTRIK
КОНЦЕПЦИЯ,KONSEPSIYA
КОНЦЕРН,KONSERN
КОНЦЕРТ,KONSERT
КОНЦЕРТМЕЙСТЕР,KONSERTMEYSTER
КОНЦЕССИЯ,KONSESSIYA
КОНЦЛАГЕРЬ,KONSLAGER
КОРРЕСПОНДЕНЦИЯ,KORRESPONDENSIYA
КОРРУПЦИЯ,KORRUPSIYA
ЛАНЦЕТ,LANSET
ЛЕКЦИЯ,LEKSIYA
ЛЮМЕНИСЦЕНЦИЯ,LYUMENISSENSIYA
МИЗАНСЦЕНА,MIZANSSENA
ОПЦИОН,OPSION
ПИНЦЕТ,PINSET
ПИЦЦА,PITSSA
ПЛЕБИСЦИТ,PLEBISSIT
ПОДСТАНЦИЯ,PODSTANSIYA
ПОРЦИЯ,PORSIYA
ПОТЕНЦИАЛ,POTENSIAL
ПРЕСС-КОНФЕРЕНЦИЯ,PRESS-KONFERENSIYA
ПРЕФЕРЕНЦИЯ,PREFERENSIYA
ПРИНЦИП,PRINSIP
ПРИНЦИПИАЛ,PRINSIPIAL
ПРИНЦИПИАЛЛИК,PRINSIPIALLIK
ПРИНЦИПЛИ,PRINSIPLI
ПРИНЦИПСИЗ,PRINSIPSIZ
ПРОВИНЦИАЛИЗМ,PROVINSIALIZM
ПРОВИНЦИЯ,PROVINSIYA
ПРОЕКЦИЯ,PROYEKSIYA
ПРОЕКЦИЯЛАМОҚ,PROYEKSIYALAMOQ
ПРОПОРЦИОНАЛ,PROPORSIONAL
ПРОПОРЦИОНАЛЛИК,PROPORSIONALLIK
ПРОПОРЦИЯ,PROPORSIYA
ПРОТЕКЦИОНИЗМ,PROTEKSIONIZM
ПУНКЦИЯ,PUNKSIYA
РАДИОСТАНЦИЯ,RADIOSTANSIYA
РЕАКЦИОН,REAKSION
РЕАКЦИЯ,REAKSIYA
РЕДАКЦИОН,REDAKSION
РЕДАКЦИЯ,REDAKSIYA
РЕДУКЦИЯ,REDUKSIYA
РЕЗЕКЦИЯ,REZEKSIYA
РЕЗИДЕНЦИЯ,REZIDENSIYA
РЕКОГНОСЦИРОВКА,REKOGNOSSIROVKA
РЕКОНСТРУКЦИЯ,REKONSTRUKSIYA
РЕКОНСТРУКЦИЯЛАМОҚ,REKONSTRUKSIYALAMOQ
РЕПРОДУКЦИЯ,REPRODUKSIYA
РЕФРАКЦИЯ,REFRAKSIYA
САНКЦИЯ,SANKSIYA
СЕКЦИЯ,SEKSIYA
СЕЛЕКЦИОН,SELEKSION
СЕЛЕКЦИЯ,SELEKSIYA
СТАНЦИЯ,STANSIYA
СТРОНЦИЙ,STRONSIY
СУБСТАНЦИЯ,SUBSTANSIYA
СЦЕНАРИЙ,SSENARIY
СЦЕНАРИСТ,SSENARIST
ТАНЦА,TANSA
ТЕЛЕИНСЦЕНИРОВКА,TELEINSSENIROVKA
ТЕНДЕНЦИОЗ,TENDENSIOZ
ТЕНДЕНЦИОЗЛИК,TENDENSIOZLIK
ТЕНДЕНЦИЯ,TENDENSIYA
ТЕРЦЕТ,TERSET
ТЕРЦИЯ,TERSIYA
ТРАНСКРИПЦИОН,TRANSKRIPSION
ТРАНСКРИПЦИЯ,TRANSKRIPSIYA
ТРАНСКРИПЦИЯЛАМОҚ,TRANSKRIPSIYALAMOQ
ФИЛЬМ-КОНЦЕРТ,FILM-KONSERT
ФИТОНЦИД,FITONSID
ФРАКЦИОН,FRAKSION
ФРАКЦИООНЕР,FRAKSIOONER
ФРАКЦИЯ,FRAKSIYA
ФРАНЦИЯ,FRANSIYA
ФРАНЦУЗ,FRANSUZ
ФРАНЦУЗЛАР,FRANSUZLAR
ФРАНЦУЗЧА,FRANSUZCHA
ФУНКЦИОНАЛ,FUNKSIONAL
ФУНКЦИЯ,FUNKSIYA
ХЕМОСОРБЦИЯ,XEMOSORBSIYA
ШВЕЙЦАР,SHVEYSAR
ШТАНГЕНЦИРКУЛЬ,SHTANGENSIRKUL
ЭКСТРАКЦИЯ,EKSTRAKSIYA
ЭЛЕКТРОСТАНЦИЯ,ELEKTROSTANSIYA
ЭНЦЕФАЛИТ,ENSEFALIT
ЭНЦЕФАЛОГРАММА,ENSEFALOGRAMMA
ЭНЦИКЛОПЕДИК,ENSIKLOPEDIK
ЭНЦИКЛОПЕДИСТ,ENSIKLOPEDIST
ЭНЦИКЛОПЕДИЯ,ENSIKLOPEDIYA
ЭНЦИКЛОПЕДИЯЧИ,ENSIKLOPEDIYACHI
ЭССЕНЦИЯ,ESSENSIYA
ЮРИСДИКЦИЯ,YURISDIKSIYA
ЮРИСПРУДЕНЦИЯ,YURISPRUDENSIYA
БЕЛЬЭТАЖ,BELETAJ
ЭРТА,ERTA
ЭЪТИБОР,E'TIBOR
ИЧ-ЭТ,ICH-ET
КАРАТЭ,KARATE
МЭР,MER
ЭСОН,ESON
РЭКЕТ,REKET
СУТЭМИЗУВЧИЛАР,SUTEMIZUVCHILAR
УПА-ЭЛИК,UPA-ELIK
ЭҲСОН,EHSON
ҚАЙНЭГАЧИ,QAYNEGACHI
АСҲОБ,ASHOB
МУСҲАФ,MUSHAF
ЙОГ,YOG
ЙОД,YOD
МАЙОНЕЗ,MAYONEZ
МИКРОРАЙОН,MIKRORAYON
МАЙОР,MAYOR
РАЙОН,RAYON
МОЙУПА,MOYUPA
ПОЙУСТУН,POYUSTUN
ПОЙАБЗАЛ,POYABZAL
ПОЙАНДОЗ,POYANDOZ
ПОЙАФЗАЛ,POYAFZAL
ИЙЕ,IYE
КОНВЕЙЕР,KONVEYER
ПЛЕЙЕР,PLEYER
СТАЙЕР,STAYER
ФОЙЕ,FOYE
АВТОМАГИСТРАЛЬАВТОМАТ,AVTOMAGISTRALAVTOMAT
АЛЬБАТРОС,ALBATROS
АЛЬБОМ,ALBOM
АЛЬПИНИЗМ,ALPINIZM
АЛЬПИНИСТ,ALPINIST
АЛЬТ,ALT
АЛЬТЕРНАТИВ,ALTERNATIV
АЛЬТЕРНАТИВА,ALTERNATIVA
АЛЬТИМЕТР,ALTIMETR
АЛЬТЧИ,ALTCHI
АЛЬФА,ALFA
АЛЬФА-ЗАРРАЛАР,ALFA-ZARRALAR
АЛЬМА-ТЕРАПИЯ,ALMA-TERAPIYA
АЛЬЯНС,ALYANS
АМАЛЬГАМА,AMALGAMA
АПЕЛЬСИН,APELSIN
АРЬЕРГАРД,ARERGARD
АСФАЛЬТ,ASFALT
АСФАЛЬТЛАМОҚ,ASFALTLAMOQ
АСФАЛЬТЛИ,ASFALTLI
АТЕЛЬЕ,ATELE
БАЗАЛЬТ,BAZALT
БАЛЬЗАМ,BALZAM
БАЛЬЗАМЛАШ,BALZAMLASH
БАЛЬНЕОЛОГ,BALNEOLOG
БАЛЬНЕОЛОГИК,BALNEOLOGIK
БАЛЬНЕОЛОГИЯ,BALNEOLOGIYA
БАЛЬНЕОТЕРАПИЯ,BALNEOTERAPIYA
БАЛЬНЕОТЕХНИКА,BALNEOTEXNIKA
БАРЕЛЬЕФ,BARELEF
БАРЬЕР,BARER
БАТАЛЬОН,BATALON
БЕЛЬВЕДЕР,BELVEDER
БЕЛЬГИЯЛИК,BELGIYALIK
БЕЛЬТИНГ,BELTING
БЕЛЬЭТАЖ,BELETAJ
БИЛЬЯРД,BILYARD
БИНОКЛЬ,BINOKL
БИОФИЛЬТР,BIOFILTR
БОЛОНЬЯ,BOLONYA
БОЛЬШЕВИЗМ,BOLSHEVIZM
БОЛЬШЕВИК,BOLSHEVIK
БРАКОНЬЕРЛИК,BRAKONERLIK
БУДИЛЬНИК,BUDILNIK
БУЛЬВАР,BULVAR
БУЛЬДЕНЕЖ,BULDENEJ
БУЛЬДОГ,BULDOG
БУЛЬДОЗЕР,BULDOZER
БУЛЬДОЗЕРЧИ,BULDOZERCHI
БУЛЬОН,BULON
ВАЛЕРЬЯНКА,VALERYANKA
ВАЛЬВАЦИЯ,VALVATSIYA
ВАЛЬС,VALS
ВАРЬЕТЕ,VARETE
ВЕДОМОСТЬ,VEDOMOST
ВЕРНЬЕР,VERNER
ВИДЕОФИЛЬМ,VIDEOFILM
ВИНЬЕТКА,VINETKA
ВОЛЬТ,VOLT
ВОЛЬТА,VOLTA
ВОЛЬТЛИ,VOLTLI
ВОЛЬТМЕТР,VOLTMETR
ВОЛЬФРАМ,VOLFRAM
ВУЛЬГАР,VULGAR
ВУЛЬГАРИЗМ,VULGARIZM
ВУЛЬГАРЛАШТИРМОҚ,VULGARLASHTIRMOQ
ГАЛЬВАНИЗАЦИЯ,GALVANIZATSIYA
ГАЛЬВАНИК,GALVANIK
ГАЛЬВАНОМЕТР,GALVANOMETR
ГАСТРОЛЬ-КОНЦЕРТ,GASTROL-KONSERT
ГЕЛЬМИНТ,GELMINT
ГЕЛЬМИНТОЗ,GELMINTOZ
ГЕЛЬМИНТОЛОГИЯ,GELMINTOLOGIYA
ГЕРАЛЬДИКА,GERALDIKA
ГИЛЬЗА,GILZA
ГИПОСУЛЬФИТ,GIPOSULFIT
ГОЛЬФ,GOLF
ГОРЕЛЬЕФ,GORELEF
ДАЛЬТОНИЗМ,DALTONIZM
ДЕВАЛЬВАЦИЯ,DEVALVATSIYA
ДЕЛЬТА,DELTA
ДЕЛЬФИН,DELFIN
ДЕЛЬФИНАРИЙ,DELFINARIY
ДЕЛЬФИНСИМОНЛАР,DELFINSIMONLAR
ДИАФИЛЬМ,DIAFILM
ИМПУЛЬС,IMPULS
ИНСУЛЬТ,INSULT
ИНТЕРВЬЮ,INTERVYU
ИНТЕРЬЕР,INTERER
ИТАЛЬЯН,ITALYAN
ИТАЛЬЯНЛАР,ITALYANLAR
ИТАЛЬЯНЧА,ITALYANCHA
КАЛЬКА,KALKA
КАЛЬКАЛАМОҚ,KALKALAMOQ
КАЛЬКУЛЯТОР,KALKULYATOR
КАЛЬКУЛЯЦИЯ,KALKULYATSIYA
КАЛЬЦИЙ,KALSIY
КАПЕЛЬМЕЙСТЕР,KAPELMEYSTER
КАРЬЕР,KARER
КАСТРЮЛЬКА,KASTRYULKA
КАТАПУЛЬТА,KATAPULTA
КИНОФИЛЬМ,KINOFILM
КОБАЛЬТ,KOBALT
КОМПЬЮТЕР,KOMPYUTER
КОМПЬЮТЕРЛАШТИРМОҚ,KOMPYUTERLASHTIRMOQ
КОНСУЛЬТАНТ,KONSULTANT
КОНСУЛЬТАТИВ,KONSULTATIV
КОНСУЛЬТАЦИЯ,KONSULTATSIYA
КОНФЕРАНСЬЕ,KONFERANSE
КОНЬКИ,KONKI
КОНЬКИЧИ,KONKICHI
КОНЬЮНКТИВА,KONYUNKTIVA
КОНЬЮНКТИВИТ,KONYUNKTIVIT
КОНЬЮНКТУРА,KONYUNKTURA
КОНЬЯК,KONYAK
КУЛЬМИНАЦИОН,KULMINATSION
КУЛЬМИНАЦИЯ,KULMINATSIYA
КУЛЬТИВАТОР,KULTIVATOR
КУЛЬТИВАЦИЯ,KULTIVATSIYA
КУЛЬТУРИЗМ,KULTURIZM
КУРЬЕР,KURER
КЬЯТ,KYAT
ЛОСОСЬ,LOSOS
ЛОСЬОН,LOSON
МАРСЕЛЬЕЗА,MARSELEZA
МЕДАЛЬОН,MEDALON
МЕЛЬХИОР,MELXIOR
МЕНЬШЕВИЗМ,MENSHEVIZM
МЕНЬШЕВИК,MENSHEVIK
МИКРОИНСУЛЬТ,MIKROINSULT
МИКРОФИЛЬМ,MIKROFILM
МОДЕЛЬЕР,MODELER
МОЛЬБЕРТ,MOLBERT
МОНОКУЛЬТОУРА,MONOKULTOURA
МУЛЬТИ,MULTI
НИМПАЛЬТО,NIMPALTO
ОККУЛЬТИЗМ,OKKULTIZM
ОФТАЛЬМОЛОГИЯ,OFTALMOLOGIYA
ПАВИЛЬОН,PAVILON
ПАЛЬМА,PALMA
ПАЛЬМАЗОР,PALMAZOR
ПАЛЬПАЦИЯ,PALPATSIYA
ПАЛЬТО,PALTO
ПАЛЬТОБОП,PALTOBOP
ПАЛЬТОЛИК,PALTOLIK
ПЕНАЛЬТИ,PENALTI
ПЕЧЕНЬЕ,PECHENE
ПОЛЬКА,POLKA
ПОЧТАЛЬОН,POCHTALON
ПРЕМЬЕРА,PREMERA
ПРЕМЬЕР-МИНИСТР,PREMER-MINISTR
ПРЕСС-ПАПЬЕ,PRESS-PAPE
ПУЛЬВЕРИЗАТОР,PULVERIZATOR
ПУЛЬМОНОЛОГИЯ,PULMONOLOGIYA
ПУЛЬПА,PULPA
ПУЛЬПИТ,PULPIT
ПУЛЬС,PULS
ПУЛЬТ,PULT
ПЬЕСА,PESA
РАНТЬЕ,RANTE
РЕВАЛЬВАЦИЯ,REVALVATSIYA
РЕВОЛЬВЕР,REVOLVER
РЕЗЬБА,REZBA
РЕЗЬБАЛИ,REZBALI
РЕЛЬЕФ,RELEF
РЕЛЬС,RELS
РЕЛЬСЛИ,RELSLI
РЕЛЬССИЗ,RELSSIZ
РУБИЛЬНИК,RUBILNIK
САЛЬДО,SALDO
САЛЬТО,SALTO
СЕЛЬДЕРЕЙ,SELDEREY
СЕНЬОР,SENOR
СЕНЬОРА,SENORA
СИНЬКА,SINKA
СИНЬКАЛАМОҚ,SINKALAMOQ
СТАТЬЯ,STATYA
СТЕЛЬКА,STELKA
СУДЬЯ,SUDYA
СУДЬЯЛИК,SUDYALIK
СУЛЬФАТ,SULFAT
СУЛЬФАТЛАР,SULFATLAR
ТАЛЬК,TALK
ТЕЛЕФИЛЬМ,TELEFILM
УЛЬТИМАТУМ,ULTIMATUM
УЛЬТРА-,ULTRA-
УЛЬТРАБИНАФША,ULTRABINAFSHA
УЛЬТРАМИКРОСКОП,ULTRAMIKROSKOP
УЛЬТРАТОВУШ,ULTRATOVUSH
УЛЬТРАҚИСҚА,ULTRAQISQA
УМИВАЛЬНИК,UMIVALNIK
ФАКУЛЬТАТИВ,FAKULTATIV
ФАКУЛЬТЕТ,FAKULTET
ФАКУЛЬТЕТЛАЛАРО,FAKULTETLALARO
ФАЛЬСИФИКАТОР,FALSIFIKATOR
ФАЛЬСИФИКАЦИЯ,FALSIFIKATSIYA
ФЕЛЬДМАРШАЛ,FELDMARSHAL
ФЕЛЬДШЕР,FELDSHER
ФЕЛЬЕТОН,FELETON
ФЕЛЬЕТОНЧИ,FELETONCHI
ФЕСТИВАЛЬ,FESTIVAL
ФИЗКУЛЬТУРА,FIZKULTURA
ФИЗКУЛЬТУРАЧИ,FIZKULTURACHI
ФИЛЬМ,FILM
ФИЛЬМ-КОНЦЕРТ,FILM-KONSERT
ФИЛЬМОСКОП,FILMOSKOP
ФИЛЬМОТЕКА,FILMOTEKA
ФИЛЬТР,FILTR
ФИЛЬТРАЦИЯ,FILTRATSIYA
ФИЛЬТРЛАМОҚ,FILTRLAMOQ
ФИЛЬТРЛИ,FILTRLI
ФОЛЬГА,FOLGA
ФОЛЬКЛОР,FOLKLOR
ФОЛЬКЛОРИСТ,FOLKLORIST
ФОЛЬКЛОРИСТИКА,FOLKLORISTIKA
ФОЛЬКЛОРЧИ,FOLKLORCHI
ФОЛЬКЛОРШУНОС,FOLKLORSHUNOS
ФОЛЬКЛОРШУНОСЛИК,FOLKLORSHUNOSLIK
ФОРТЕПЬЯНО,FORTEPYANO
ХОЛОДИЛЬНИК,XOLODILNIK
ЦЕЛЬСИЙ,SELSIY
ШИФОНЬЕР,SHIFONER
ШПИЛЬКА,SHPILKA
ЭМУЛЬСИЯ,EMULSIYA
ЭСКАДРИЛЬЯ,ESKADRILYA
ЮРИСКОНСУЛЬТ,YURISKONSULT
якорь,yakor
авиамодель,aviamodel
акварель,akvarel
алкоголь,alkogol
ансамбль,ansambl
артель,artel
артикль,artikl
бандероль,banderol
баррель,barrel
бронеавтомобиль,broneavtomobil
бронь,bron
бюллетень,byulleten
ваниль,vanil
вексель,veksel
вентиль,ventil
вермишель,vermishel
верфь,verf
вестибюль,vestibyul
виключатель,viklyuchatel
виолончель,violonchel
включатель,vklyuchatel
водевиль,vodevil
волость,volost
гавань,gavan
гантель,gantel
гармонь,garmon
гастроль,gastrol
горизонталь,gorizontal
госпиталь,gospital
грифель,grifel
гуашь,guash
двигатель,dvigatel
деталь,detal
диагональ,diagonal
дизель,dizel
дирижабль,dirijabl
дрель,drel
дуэль,duel
женьшень,jenshen
инвентарь,inventar
кабель,kabel
календарь,kalendar
канифоль,kanifol
капсюль,kapsyul
карамель,karamel
картель,kartel
картечь,kartech
карусель,karusel
кастрюль,kastryul
кафель,kafel
кинофестиваль,kinofestival
кисель,kisel
китель,kitel
князь,knyaz
кокиль,kokil
коктейль,kokteyl
контроль,kontrol
концлагерь,konslager
конь,kon
король,korol
кремль,kreml
кровать,krovat
лагерь,lager
латунь,latun
магистраль,magistral
мебель,mebel
медаль,medal
мигрень,migren
модель,model
монастирь,monastir
мотель,motel
нефть,neft
никель,nikel
ниппель,nippel
ноль,nol
нормаль,normal
область,oblast
отель,otel
очередь,ochered
панель,panel
параллель,parallel
пароль,parol
патруль,patrul
педаль,pedal
печать,pechat
печь,pech
пластирь,plastir
повесть,povest
портфель,portfel
поршень,porshen
предохранитель,predoxranitel
пристань,pristan
профиль,profil
радиоспектакль,radiospektakl
ретушь,retush
риель,riyel
рицарь,ritsar
роль,rol
рояль,royal
рубль,rubl
руль,rul
секретарь,sekretar
сельдь,seld
сирень,siren
скальпель,skalpel
слесарь,slesar
соболь,sobol
соль,sol
спектакль,spektakl
спираль,spiral
стиль,stil
стержень,sterjen
табель,tabel
текстиль,tekstil
тигель,tigel
токарь,tokar
толь,tol
тоннель,tonnel
туннель,tunnel
тушь,tush
тюлень,tyulen
тюль,tyul
утиль,util
фельдъегерь,feld'eger
фонарь,fonar
хрусталь,xrustal
цоколь,sokol
циркуль,sirkul
чизель,chizel
шагрень,shagren
шампунь,shampun
шерсть,sherst
шинель,shinel
шницель,shnitsel
шпатель,shpatel
шпиндель,shpindel
штапель,shtapel
штангенциркуль,shtangensirkul
штемпель,shtempel
эмаль,emal
эндшпиль,endshpil
юань,yuan
дизель,dizel
автомобилда,avtomobilda
автомобилга,avtomobilga
автомобилни,avtomobilni
автомобилнинг,avtomobilning
автомобиллар,avtomobillar
автомобилларда,avtomobillarda
автомобилларга,avtomobillarga
автомобилларни,avtomobillarni
автомобилларнинг,avtomobillarning
автомобиль,avtomobil
Якорь,Yakor
Авиамодель,Aviamodel
Акварель,Akvarel
Алкоголь,Alkogol
Ансамбль,Ansambl
Артель,Artel
Артикль,Artikl
Бандероль,Banderol
Баррель,Barrel
Бронеавтомобиль,Broneavtomobil
Бронь,Bron
Бюллетень,Byulleten
Ваниль,Vanil
Вексель,Veksel
Вентиль,Ventil
Вермишель,Vermishel
Верфь,Verf
Вестибюль,Vestibyul
Виключатель,Viklyuchatel
Виолончель,Violonchel
Включатель,Vklyuchatel
Водевиль,Vodevil
Волость,Volost
Гавань,Gavan
Гантель,Gantel
Гармонь,Garmon
Гастроль,Gastrol
Горизонталь,Gorizontal
Госпиталь,Gospital
Грифель,Grifel
Гуашь,Guash
Двигатель,Dvigatel
Деталь,Detal
Диагональ,Diagonal
Дизель,Dizel
Дирижабль,Dirijabl
Дрель,Drel
Дуэль,Duel
Женьшень,Jenshen
Инвентарь,Inventar
Кабель,Kabel
Календарь,Kalendar
Канифоль,Kanifol
Капсюль,Kapsyul
Карамель,Karamel
Картель,Kartel
Картечь,Kartech
Карусель,Karusel
Кастрюль,Kastryul
Кафель,Kafel
Кинофестиваль,Kinofestival
Кисель,Kisel
Китель,Kitel
Князь,Knyaz
Кокиль,Kokil
Коктейль,Kokteyl
Контроль,Kontrol
Концлагерь,Konslager
Конь,Kon
Король,Korol
Кремль,Kreml
Кровать,Krovat
Лагерь,Lager
Латунь,Latun
Магистраль,Magistral
Мебель,Mebel
Медаль,Medal
Мигрень,Migren
Модель,Model
Монастирь,Monastir
Мотель,Motel
Нефть,Neft
Никель,Nikel
Ниппель,Nippel
Ноль,Nol
Нормаль,Normal
Область,Oblast
Отель,Otel
Очередь,Ochered
Панель,Panel
Параллель,Parallel
Пароль,Parol
Патруль,Patrul
Педаль,Pedal
Печать,Pechat
Печь,Pech
Пластирь,Plastir
Повесть,Povest
Портфель,Portfel
Поршень,Porshen
Предохранитель,Predoxranitel
Пристань,Pristan
Профиль,Profil
Радиоспектакль,Radiospektakl
Ретушь,Retush
Риель,Riyel
Рицарь,Ritsar
Роль,Rol
Рояль,Royal
Рубль,Rubl
Руль,Rul
Секретарь,Sekretar
Сельдь,Seld
Сирень,Siren
Скальпель,Skalpel
Слесарь,Slesar
Соболь,Sobol
Соль,Sol
Спектакль,Spektakl
Спираль,Spiral
Стиль,Stil
Стержень,Sterjen
Табель,Tabel
Текстиль,Tekstil
Тигель,Tigel
Токарь,Tokar
Толь,Tol
Тоннель,Tonnel
Туннель,Tunnel
Тушь,Tush
Тюлень,Tyulen
Тюль,Tyul
Утиль,Util
Фельдъегерь,Feld'Eger
Фонарь,Fonar
Хрусталь,Xrustal
Цоколь,Sokol
Циркуль,Sirkul
Чизель,Chizel
Шагрень,Shagren
Шампунь,Shampun
Шерсть,Sherst
Шинель,Shinel
Шницель,Shnitsel
Шпатель,Shpatel
Шпиндель,Shpindel
Штапель,Shtapel
Штангенциркуль,Shtangensirkul
Штемпель,Shtempel
Эмаль,Emal
Эндшпиль,Endshpil
Юань,Yuan
Дизель,Dizel
Автомобилда,Avtomobilda
Автомобилга,Avtomobilga
Автомобилни,Avtomobilni
Автомобилнинг,Avtomobilning
Автомобиллар,Avtomobillar
Автомобилларда,Avtomobillarda
Автомобилларга,Avtomobillarga
Автомобилларни,Avtomobillarni
Автомобилларнинг,Avtomobillarning
Автомобиль,Avtomobil
ЯКОРЬ,YAKOR
АВИАМОДЕЛЬ,AVIAMODEL
АКВАРЕЛЬ,AKVAREL
АЛКОГОЛЬ,ALKOGOL
АНСАМБЛЬ,ANSAMBL
АРТЕЛЬ,ARTEL
АРТИКЛЬ,ARTIKL
БАНДЕРОЛЬ,BANDEROL
БАРРЕЛЬ,BARREL
БРОНЕАВТОМОБИЛЬ,BRONEAVTOMOBIL
БРОНЬ,BRON
БЮЛЛЕТЕНЬ,BYULLETEN
ВАНИЛЬ,VANIL
ВЕКСЕЛЬ,VEKSEL
ВЕНТИЛЬ,VENTIL
ВЕРМИШЕЛЬ,VERMISHEL
ВЕРФЬ,VERF
ВЕСТИБЮЛЬ,VESTIBYUL
ВИКЛЮЧАТЕЛЬ,VIKLYUCHATEL
ВИОЛОНЧЕЛЬ,VIOLONCHEL
ВКЛЮЧАТЕЛЬ,VKLYUCHATEL
ВОДЕВИЛЬ,VODEVIL
ВОЛОСТЬ,VOLOST
ГАВАНЬ,GAVAN
ГАНТЕЛЬ,GANTEL
ГАРМОНЬ,GARMON
ГАСТРОЛЬ,GASTROL
ГОРИЗОНТАЛЬ,GORIZONTAL
ГОСПИТАЛЬ,GOSPITAL
ГРИФЕЛЬ,GRIFEL
ГУАШЬ,GUASH
ДВИГАТЕЛЬ,DVIGATEL
ДЕТАЛЬ,DETAL
ДИАГОНАЛЬ,DIAGONAL
ДИЗЕЛЬ,DIZEL
ДИРИЖАБЛЬ,DIRIJABL
ДРЕЛЬ,DREL
ДУЭЛЬ,DUEL
ЖЕНЬШЕНЬ,JENSHEN
ИНВЕНТАРЬ,INVENTAR
КАБЕЛЬ,KABEL
КАЛЕНДАРЬ,KALENDAR
КАНИФОЛЬ,KANIFOL
КАПСЮЛЬ,KAPSYUL
КАРАМЕЛЬ,KARAMEL
КАРТЕЛЬ,KARTEL
КАРТЕЧЬ,KARTECH
КАРУСЕЛЬ,KARUSEL
КАСТРЮЛЬ,KASTRYUL
КАФЕЛЬ,KAFEL
КИНОФЕСТИВАЛЬ,KINOFESTIVAL
КИСЕЛЬ,KISEL
КИТЕЛЬ,KITEL
КНЯЗЬ,KNYAZ
КОКИЛЬ,KOKIL
КОКТЕЙЛЬ,KOKTEYL
КОНТРОЛЬ,KONTROL
КОНЦЛАГЕРЬ,KONSLAGER
КОНЬ,KON
КОРОЛЬ,KOROL
КРЕМЛЬ,KREML
КРОВАТЬ,KROVAT
ЛАГЕРЬ,LAGER
ЛАТУНЬ,LATUN
МАГИСТРАЛЬ,MAGISTRAL
МЕБЕЛЬ,MEBEL
МЕДАЛЬ,MEDAL
МИГРЕНЬ,MIGREN
МОДЕЛЬ,MODEL
МОНАСТИРЬ,MONASTIR
МОТЕЛЬ,MOTEL
НЕФТЬ,NEFT
НИКЕЛЬ,NIKEL
НИППЕЛЬ,NIPPEL
НОЛЬ,NOL
НОРМАЛЬ,NORMAL
ОБЛАСТЬ,OBLAST
ОТЕЛЬ,OTEL
ОЧЕРЕДЬ,OCHERED
ПАНЕЛЬ,PANEL
ПАРАЛЛЕЛЬ,PARALLEL
ПАРОЛЬ,PAROL
ПАТРУЛЬ,PATRUL
ПЕДАЛЬ,PEDAL
ПЕЧАТЬ,PECHAT
ПЕЧЬ,PECH
ПЛАСТИРЬ,PLASTIR
ПОВЕСТЬ,POVEST
ПОРТФЕЛЬ,PORTFEL
ПОРШЕНЬ,PORSHEN
ПРЕДОХРАНИТЕЛЬ,PREDOXRANITEL
ПРИСТАНЬ,PRISTAN
ПРОФИЛЬ,PROFIL
РАДИОСПЕКТАКЛЬ,RADIOSPEKTAKL
РЕТУШЬ,RETUSH
РИЕЛЬ,RIYEL
РИЦАРЬ,RITSAR
РОЛЬ,ROL
РОЯЛЬ,ROYAL
РУБЛЬ,RUBL
РУЛЬ,RUL
СЕКРЕТАРЬ,SEKRETAR
СЕЛЬДЬ,SELD
СИРЕНЬ,SIREN
СКАЛЬПЕЛЬ,SKALPEL
СЛЕСАРЬ,SLESAR
СОБОЛЬ,SOBOL
СОЛЬ,SOL
СПЕКТАКЛЬ,SPEKTAKL
СПИРАЛЬ,SPIRAL
СТИЛЬ,STIL
СТЕРЖЕНЬ,STERJEN
ТАБЕЛЬ,TABEL
ТЕКСТИЛЬ,TEKSTIL
ТИГЕЛЬ,TIGEL
ТОКАРЬ,TOKAR
ТОЛЬ,TOL
ТОННЕЛЬ,TONNEL
ТУННЕЛЬ,TUNNEL
ТУШЬ,TUSH
ТЮЛЕНЬ,TYULEN
ТЮЛЬ,TYUL
УТИЛЬ,UTIL
ФЕЛЬДЪЕГЕРЬ,FELD'EGER
ФОНАРЬ,FONAR
ХРУСТАЛЬ,XRUSTAL
ЦОКОЛЬ,SOKOL
ЦИРКУЛЬ,SIRKUL
ЧИЗЕЛЬ,CHIZEL
ШАГРЕНЬ,SHAGREN
ШАМПУНЬ,SHAMPUN
ШЕРСТЬ,SHERST
ШИНЕЛЬ,SHINEL
ШНИЦЕЛЬ,SHNITSEL
ШПАТЕЛЬ,SHPATEL
ШПИНДЕЛЬ,SHPINDEL
ШТАПЕЛЬ,SHTAPEL
ШТАНГЕНЦИРКУЛЬ,SHTANGENSIRKUL
ШТЕМПЕЛЬ,SHTEMPEL
ЭМАЛЬ,EMAL
ЭНДШПИЛЬ,ENDSHPIL
ЮАНЬ,YUAN
ДИЗЕЛЬ,DIZEL
АВТОМОБИЛДА,AVTOMOBILDA
АВТОМОБИЛГА,AVTOMOBILGA
АВТОМОБИЛНИ,AVTOMOBILNI
АВТОМОБИЛНИНГ,AVTOMOBILNING
АВТОМОБИЛЛАР,AVTOMOBILLAR
АВТОМОБИЛЛАРДА,AVTOMOBILLARDA
АВТОМОБИЛЛАРГА,AVTOMOBILLARGA
АВТОМОБИЛЛАРНИ,AVTOMOBILLARNI
АВТОМОБИЛЛАРНИНГ,AVTOMOBILLARNING
